idx,orig_label,fidelity_drop,confidence,stability_no_stopwords,stability_no_punct,topk_overlap,xai_change,label_flip,robust_expl,fidelity_norm,stability_norm,agreement_norm,robustness_norm,ERS
87,neutral,0.0001194477081298,0.999076008796692,0.6,0.4,0.75,0.4,0,0.6,0.008003157096569647,0.7481296758104754,0.855920114122683,0.7481296758104754,0.5900456557100509
88,neutral,-8.946657180786133e-05,0.9991269707679749,0.0,0.4,0.25,1.0,0,0.0,0.007795599692305537,0.0,0.285306704707561,0.0,0.07327557609996663
89,negative,0.99782958131982,0.998537540435791,0.4,0.8,0.5,0.6,0,0.4,0.9992332711999847,0.4987531172069836,0.570613409415122,0.4987531172069836,0.6418382287572685
90,positive,0.9983307805960068,0.999054491519928,0.4,0.6,0.625,0.6,0,0.4,0.9997312152410307,0.4987531172069836,0.7132667617689025,0.4987531172069836,0.6776260528559751
91,neutral,0.0003344416618347,0.999228835105896,0.4,0.6,0.25,0.6,0,0.4,0.008216754687776828,0.4987531172069836,0.285306704707561,0.4987531172069836,0.3227574234523263
92,neutral,5.996227264404297e-05,0.9991938471794128,0.0,0.4,0.25,1.0,0,0.0,0.007944058012559554,0.0,0.285306704707561,0.0,0.07331269068003013
93,neutral,0.0197311043739318,0.9988527297973632,0.4,0.2,0.625,0.6,0,0.4,0.027487438171503436,0.4987531172069836,0.7132667617689025,0.4987531172069836,0.43456510858859326
94,neutral,-0.0005499720573425,0.9984678626060486,0.4,0.2,0.625,0.6,0,0.4,0.007338085140138619,0.4987531172069836,0.7132667617689025,0.4987531172069836,0.4295277703307521
95,neutral,6.937980651855469e-05,0.9991752505302428,0.0,0.6,0.375,1.0,0,0.0,0.007953414380569181,0.0,0.4279600570613415,0.0,0.10897836786047767
96,neutral,0.0003066062927246,0.9991822838783264,0.4,0.8,0.5,0.6,0,0.4,0.008189100106381294,0.4987531172069836,0.570613409415122,0.4987531172069836,0.3940771859838676
97,neutral,-3.886222839355469e-05,0.9987390637397766,0.6,0.2,0.375,0.4,0,0.6,0.00784587536597752,0.7481296758104754,0.4279600570613415,0.7481296758104754,0.48301632101206743
98,neutral,2.205371856689453e-06,0.9990713596343994,0.4,0.6,0.375,0.6,0,0.4,0.007886676236601779,0.4987531172069836,0.4279600570613415,0.4987531172069836,0.35833824192797764
99,neutral,2.2470951080322266e-05,0.9991114735603333,0.4,0.2,0.5,0.6,0,0.4,0.00790681019307819,0.4987531172069836,0.570613409415122,0.4987531172069836,0.39400661350554184
